0	0	0	0	
0.075	0	0	0	
0.125	0	0	0	
0.175	0	0	0	
0.225	0	0	0	
0.275	0	0	0	
0.325	0	0	0	
0.375	0.0006128	0.0006107	0	
0.425	0.002868	0.00143	0.002382	
0.475	0.004598	0.009177	0.006495	
0.525	0.01131	0.01034	0.0119	
0.575	0.01521	0.01518	0.01569	
0.625	0.02045	0.01686	0.01885	
0.675	0.02463	0.01924	0.01941	
0.725	0.02752	0.0339	0.03289	
0.775	0.04419	0.04048	0.04318	
0.825	0.06855	0.062	0.0686	
0.875	0.1393	0.1499	0.1431	
0.925	0.332	0.3271	0.3279	
0.975	0.7169	0.7367	0.7118	
1.025	1.402	1.383	1.376	
1.075	2.082	2.07	2.059	
1.125	2.295	2.304	2.315	
1.175	2.068	2.074	2.083	
1.225	1.718	1.714	1.707	
1.275	1.367	1.356	1.384	
1.325	1.105	1.091	1.102	
1.375	0.9117	0.9282	0.9251	
1.425	0.8085	0.7948	0.7948	
1.475	0.7164	0.7251	0.7181	
1.525	0.6722	0.682	0.6822	
1.575	0.6646	0.6705	0.6707	
1.625	0.674	0.6644	0.6703	
1.675	0.7064	0.7004	0.6914	
1.725	0.7465	0.7408	0.749	
1.775	0.809	0.8033	0.8017	
1.825	0.8837	0.8816	0.8811	
1.875	0.9612	0.9697	0.9584	
1.925	1.041	1.044	1.035	
1.975	1.105	1.092	1.099	
2.025	1.152	1.147	1.151	
2.075	1.181	1.18	1.167	
2.125	1.173	1.186	1.18	
2.175	1.163	1.167	1.169	
2.225	1.13	1.13	1.129	
2.275	1.081	1.073	1.085	
2.325	1.022	1.02	1.028	
2.375	0.9679	0.9705	0.9734	
2.425	0.9318	0.9314	0.9381	
2.475	0.9076	0.9008	0.907	
2.525	0.8808	0.883	0.8799	
2.575	0.8837	0.884	0.8783	
2.625	0.8869	0.8825	0.8877	
2.675	0.9061	0.9025	0.8946	
2.725	0.929	0.9256	0.9229	
2.775	0.9521	0.9502	0.9514	
2.825	0.9767	0.9784	0.975	
2.875	1.007	1.003	1.002	
2.925	1.031	1.028	1.03	
2.975	1.043	1.044	1.04	
3.025	1.058	1.052	1.049	
3.075	1.051	1.049	1.051	
3.125	1.041	1.041	1.04	
3.175	1.03	1.034	1.03	
3.225	1.02	1.019	1.02	
3.275	1.001	1.006	1.013	
3.325	0.9874	0.9864	0.9946	
3.375	0.98	0.9728	0.9768	
3.425	0.9634	0.9621	0.9643	
3.475	0.9524	0.9546	0.9537	
3.525	0.9532	0.9548	0.9534	
3.575	0.953	0.9521	0.9527	
3.625	0.962	0.9555	0.9568	
3.675	0.966	0.9633	0.9594	
3.725	0.9745	0.9734	0.9722	
3.775	0.9817	0.9812	0.9816	
3.825	0.9911	0.993	0.9912	
3.875	1.004	0.9986	0.9974	
3.925	1.009	1.005	1.008	
3.975	1.015	1.01	1.012	
4.025	1.014	1.011	1.013	
4.075	1.011	1.011	1.011	
4.125	1.011	1.004	1.009	
4.175	1.008	1.004	1.003	
4.225	0.993	1.001	0.9938	
4.275	0.993	0.9876	0.9894	
4.325	0.9858	0.9826	0.9882	
4.375	0.9786	0.9811	0.984	
4.425	0.9755	0.9768	0.9713	
4.475	0.9775	0.9763	0.9742	
4.525	0.9724	0.9773	0.9796	
4.575	0.9778	0.9779	0.9777	
4.625	0.9811	0.9796	0.9831	
4.675	0.985	0.9778	0.9816	
4.725	0.9893	0.9831	0.983	
4.775	0.9916	0.9888	0.9881	
4.825	0.9976	0.9923	0.9929	
4.875	0.9954	0.9981	0.9953	
4.925	0.994	0.9963	0.9986	
4.975	1.002	0.9955	0.9987	
